,token_index,value
0,0,21.814863
1,1,59.52053
2,14,28.467001
3,33,45.658104
4,53,56.91689
5,89,26.765518
6,108,25.671844
7,116,37.827248
8,118,52.12043
9,124,43.202396
10,138,56.42023
11,139,66.35171
12,141,88.515
13,143,212.37816
14,150,122.30115
15,155,50.270454
16,160,77.41656
17,161,82.131905
18,168,32.14998
19,169,57.940956
20,173,83.393
21,186,19.015034
22,195,24.832346
23,197,69.3453
24,203,118.64369
25,211,75.20325
26,229,101.08386
27,234,70.13813
28,235,63.05109
29,239,42.398697
30,240,65.16092
31,241,42.687965
32,249,16.912142
33,252,86.505196
34,257,74.592674
35,258,78.70073
36,259,107.6312
37,260,149.98029
38,263,74.376854
39,264,16.598381
40,273,105.12164
41,280,83.530174
42,281,23.32927
43,283,55.945473
44,285,47.692955
45,286,76.32175
46,287,32.954353
47,291,34.583324
48,294,48.968212
49,299,11.721261
50,300,87.97828
51,307,7.311802
52,308,45.077297
53,312,79.135506
54,318,32.842148
55,322,60.06218
56,325,38.937912
57,328,70.02097
58,329,40.824715
59,332,46.739037
60,335,93.52374
61,338,26.279383
62,339,177.8602
63,340,138.77113
64,341,72.793205
65,342,82.03647
66,344,15.699607
67,346,29.86783
68,349,73.250244
69,352,43.953835
70,353,50.925213
71,355,23.284592
72,364,302.3489
73,365,66.234146
74,368,47.678596
75,374,66.8048
76,376,73.07714
77,381,39.752895
78,382,101.06651
79,383,26.283606
80,384,38.703716
81,385,102.6093
82,387,205.12955
83,399,93.742134
84,402,72.57933
85,404,18.887209
86,406,304.85147
87,407,94.42239
88,410,33.62624
89,411,24.819006
90,416,233.78108
91,418,97.89204
92,422,68.80872
93,423,109.19826
94,426,26.537937
95,430,40.528435
96,431,70.063324
97,432,92.82055
98,434,68.3884
99,435,44.917706
100,441,71.525246
101,445,138.4564
102,446,29.752077
103,447,71.20645
104,449,57.021935
105,453,64.46789
106,457,136.04915
107,460,48.315212
108,465,77.54017
109,470,42.850365
110,471,15.677815
111,473,39.97762
112,480,91.0963
113,483,41.663208
114,485,21.930798
115,486,69.42241
116,488,81.283264
117,489,76.53189
118,490,75.51522
119,494,91.51329
120,496,93.29178
121,497,50.834934
122,501,14.778971
123,503,68.611
124,504,36.253742
125,505,14.843762
126,506,76.85871
127,507,84.82646
128,509,76.15221
129,510,27.848667
130,512,191.65045
131,516,19.250732
132,518,19.630383
133,522,79.88296
134,526,83.15731
135,531,69.9525
136,534,105.173294
137,535,17.99551
138,536,158.14536
139,537,64.30893
140,538,32.791866
141,544,17.596598
142,547,66.52791
143,548,66.80675
144,549,171.14468
145,550,82.279465
146,551,68.789055
147,553,80.71426
148,555,18.631943
149,561,444.42688
150,563,77.46858
151,564,85.80628
152,568,24.650928
153,570,72.478455
154,573,216.83293
155,577,69.68719
156,578,25.25106
157,583,73.82143
158,586,62.52275
159,588,82.586075
160,589,25.170082
161,591,74.65966
162,593,116.6408
163,596,102.20949
164,599,30.459944
165,604,52.89534
166,605,28.075256
167,607,5.8706245
168,608,146.7774
169,610,44.351673
170,613,69.808365
171,615,14.726116
172,616,85.75042
173,617,89.957756
174,618,78.07801
175,620,61.611343
176,621,62.618362
177,622,65.31463
178,627,135.16765
179,628,94.83175
180,632,78.56112
181,636,89.66659
182,638,167.65913
183,639,66.59112
184,641,13.95529
185,642,174.45518
186,643,80.90306
187,648,81.64621
188,650,91.798355
189,660,75.986206
190,661,74.07278
191,665,13.911837
192,668,20.596607
193,669,33.868336
194,675,71.195496
195,678,29.497528
196,680,17.581553
197,682,62.28501
198,684,165.72252
199,685,71.17926
200,686,92.341835
201,690,76.848434
202,692,71.39754
203,695,81.055954
204,698,118.78428
205,700,71.97087
206,701,27.870024
207,702,80.59277
208,703,38.01119
209,704,86.073204
210,706,87.64828
211,707,56.267418
212,709,94.79622
213,713,102.09142
214,715,65.51331
215,716,93.65612
